,unique_id,ds,cutoff,NHITS,Real_value
6341,BTC,2023-03-16,2023-02-23,0.007885338,0.008711438779221797
6362,BTC,2023-03-17,2023-02-24,0.0071189916,0.01320783967455513
6383,BTC,2023-03-18,2023-02-25,0.005626872,0.010442044432542676
6404,BTC,2023-03-19,2023-02-26,0.0062314807,0.009206989858588206
6425,BTC,2023-03-20,2023-02-27,0.00746506,0.011389681987015532
6446,BTC,2023-03-21,2023-02-28,0.005677786,0.008313735651893922
6467,BTC,2023-03-22,2023-03-01,0.0073788227,0.01501921889396244
6488,BTC,2023-03-23,2023-03-02,0.0051506395,0.01139401118197184
6509,BTC,2023-03-24,2023-03-03,0.012525854,0.007406915361029386
6530,BTC,2023-03-25,2023-03-04,0.001265992,0.00523716241113448
6551,BTC,2023-03-26,2023-03-05,0.00623286,0.005972735615233762
6572,BTC,2023-03-27,2023-03-06,0.004429709,0.008820101316621521
6593,BTC,2023-03-28,2023-03-07,0.0062323776,0.007765109585206496
6614,BTC,2023-03-29,2023-03-08,0.0059250756,0.008070432856036537
6635,BTC,2023-03-30,2023-03-09,0.009177023,0.010297986597136875
6656,BTC,2023-03-31,2023-03-10,0.0081053525,0.0073328933005549985
6677,BTC,2023-04-01,2023-03-11,0.007166743,0.003967708815196685
6698,BTC,2023-04-02,2023-03-12,0.008469974,0.0044530754632712685
6719,BTC,2023-04-03,2023-03-13,0.009111252,0.009290984900634689
6740,BTC,2023-04-04,2023-03-14,0.0086478675,0.005110645602440468
6761,BTC,2023-04-05,2023-03-15,0.004874831,0.007189738093489928
6782,BTC,2023-04-06,2023-03-16,0.007229655,0.004429274566780337
6803,BTC,2023-04-07,2023-03-17,0.012341389,0.00311903693202142
6824,BTC,2023-04-08,2023-03-18,0.009388728,0.0023074120444932828
6845,BTC,2023-04-09,2023-03-19,0.010427779,0.004010570220826339
6866,BTC,2023-04-10,2023-03-20,0.011704605,0.0071978871547653525
6887,BTC,2023-04-11,2023-03-21,0.009015588,0.006770664327877039
6908,BTC,2023-04-12,2023-03-22,0.014826601,0.005954123711961066
6929,BTC,2023-04-13,2023-03-23,0.008882858,0.004523080601911226
6950,BTC,2023-04-14,2023-03-24,0.007851835,0.006542006639993363
6971,BTC,2023-04-15,2023-03-25,0.007941998,0.0027392869627720995
6992,BTC,2023-04-16,2023-03-26,0.008813547,0.0031122878037538773
7013,BTC,2023-04-17,2023-03-27,0.009898901,0.00591770422636638
7034,BTC,2023-04-18,2023-03-28,0.008292765,0.00610662534634481
7055,BTC,2023-04-19,2023-03-29,0.008657589,0.009375001790386653
7076,BTC,2023-04-20,2023-03-30,0.010621058,0.00728573890560463
7097,BTC,2023-04-21,2023-03-31,0.008613087,0.007251532291417288
7118,BTC,2023-04-22,2023-04-01,0.0072006844,0.004203482264427904
7139,BTC,2023-04-23,2023-04-02,0.0078078043,0.005129973383046669
7160,BTC,2023-04-24,2023-04-03,0.01027006,0.007579220324654341
7181,BTC,2023-04-25,2023-04-04,0.005719006,0.006050662886867258
7202,BTC,2023-04-26,2023-04-05,0.008644934,0.019943459355491612
7223,BTC,2023-04-27,2023-04-06,0.006287573,0.012429104227734517
7244,BTC,2023-04-28,2023-04-07,0.0064601316,0.005461604493778319
7265,BTC,2023-04-29,2023-04-08,0.006170311,0.0030268949455448725
7286,BTC,2023-04-30,2023-04-09,0.007052968,0.0053373409755288394
7307,BTC,2023-05-01,2023-04-10,0.008597639,0.009608407116535636
7328,BTC,2023-05-02,2023-04-11,0.006803461,0.006448760399845342
7349,BTC,2023-05-03,2023-04-12,0.006235553,0.007730363860690735
7370,BTC,2023-05-04,2023-04-13,0.005634985,0.005030363231919763
7391,BTC,2023-05-05,2023-04-14,0.007744996,0.0065784880603243
7412,BTC,2023-05-06,2023-04-15,0.0037564023,0.005681627577659929
7433,BTC,2023-05-07,2023-04-16,0.004935189,0.004686432692567028
7454,BTC,2023-05-08,2023-04-17,0.007134281,0.007991283099657359
7475,BTC,2023-05-09,2023-04-18,0.006753463,0.005340878448080619
7496,BTC,2023-05-10,2023-04-19,0.009102072,0.011720265018926116
7517,BTC,2023-05-11,2023-04-20,0.007237628,0.006059308605930546
7538,BTC,2023-05-12,2023-04-21,0.008302288,0.008163772145213587
7559,BTC,2023-05-13,2023-04-22,0.0064744614,0.0035782161948330004
